"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202850_at",0.514567827051,11.3682618439716,2.20057084413469,0.0294173678771841,0.047871930631101,-5.02299185679295
"202064_s_at",0.541856230598668,5.93445482269504,2.20048165522678,0.0294238309594729,0.0478798399745253,-5.02318216905143
"210598_at",-0.472219223946784,5.98828368794326,-2.20045760793534,0.0294255737599419,0.0478800678103788,-5.02323348019155
"36554_at",-0.58377332594235,6.88237219858156,-2.20040255154067,0.0294295642483889,0.0478839527664554,-5.02335095533598
"204015_s_at",-1.02697600886918,7.9653529787234,-2.19976215970928,0.0294760144386835,0.047956918431828,-5.02471717334182
"1554444_s_at",-0.095458470066518,6.68605375886525,-2.199471368677,0.0294971277156919,0.0479886557156554,-5.02533742726742
"227792_at",-0.586392682926828,10.3658904255319,-2.19932338386864,0.0295078774007782,0.0480035300110791,-5.02565304780373
"206495_s_at",0.360708580931263,6.4740975177305,2.19906344074222,0.0295267680361734,0.0480316456950886,-5.02620740399125
"218377_s_at",-0.491670620842573,7.61130843971631,-2.19864901043872,0.0295569073369279,0.048078055697035,-5.02709109404552
"206407_s_at",0.983123370288249,4.54077035460993,2.19841831044402,0.0295736964999142,0.0481027461364443,-5.02758294852676
"221538_s_at",0.532539024390246,8.35491276595745,2.19827943687924,0.0295838070030683,0.0481165713836042,-5.02787900501965
"225558_at",-0.395329090909089,8.32138375886525,-2.19807513494696,0.0295986863924743,0.0481381510563145,-5.02831451274953
"209460_at",-0.824005254988917,7.96204829787234,-2.19792083909569,0.0296099281311413,0.0481538125679995,-5.02864339815804
"222087_at",0.531158913525497,5.34572312056738,2.19748511428776,0.0296416943574988,0.0482028489679674,-5.0295720400695
"201332_s_at",0.496690487804876,3.66894120567376,2.19714388569247,0.0296665920804956,0.0482407111872323,-5.03029916629969
"204269_at",0.622192572062085,5.13647624113475,2.19670774327172,0.0296984416495045,0.0482895559913876,-5.03122839169416
"229074_at",-0.49684241685144,8.07318985815603,-2.19668828681187,0.02969986316171,0.0482895559913876,-5.03126984074231
"233458_at",0.578072682926828,4.3612095035461,2.19664079210597,0.0297033334300672,0.0482925699116359,-5.03137101959951
"223075_s_at",-1.42353208425721,7.15810773049645,-2.19496432497351,0.0298260528791098,0.0484894518453141,-5.03494112166075
"209193_at",0.548241995565412,6.74100106382979,2.19445181603264,0.0298636569957212,0.0485479443531334,-5.03603202199714
"221142_s_at",-0.383344567627493,4.54548893617021,-2.19414136122618,0.0298864559056453,0.0485823636757547,-5.03669272466287
